City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,meulaboh,4.1363,96.1285,78.4,86,100,7.05,ID,1629123051
155,baykit,61.67,96.37,57.45,98,100,3.09,RU,1629123573
156,nome,64.5011,-165.4064,44.67,77,90,17.27,US,1629123573
157,kavieng,-2.5744,150.7967,81.07,78,91,9.89,PG,1629122999
158,privas,44.5833,4.5,82.31,33,0,13.69,FR,1629123573
159,castle bruce,15.4333,-61.2667,84.88,89,75,14.97,DM,1629123574
160,nikolskoye,59.7035,30.7861,69.03,56,100,6.02,RU,1629123381
161,caucel,21.0167,-89.7167,84.06,78,40,0.0,MX,1629123574
162,colgong,25.2667,87.2167,84.67,79,97,6.29,IN,1629123574
163,provideniya,64.3833,-173.3,43.07,86,100,5.12,RU,1629123574
164,itaqui,-29.1253,-56.5531,67.93,58,0,7.29,BR,1629123575
165,valdivia,-39.8142,-73.2459,55.49,93,18,10.76,CL,1629123575
166,kamyshlov,56.8428,62.7111,78.39,49,75,2.28,RU,1629123575
167,mpongwe,-13.5091,28.155,82.33,21,0,6.69,ZM,1629123576
168,clyde river,70.4692,-68.5914,40.89,89,100,3.51,CA,1629123436
169,caborca,30.5838,-111.101,75.49,65,81,2.98,MX,1629123576
170,san jeronimo,-11.9472,-75.2829,51.87,66,98,1.99,PE,1629123576
171,awjilah,29.1081,21.2869,95.22,16,0,14.05,LY,1629123577
172,lavrentiya,65.5833,-171.0,38.26,89,93,4.79,RU,1629123461
173,thana,34.6369,72.0739,81.0,60,0,2.24,PK,1629123577
174,new norfolk,-42.7826,147.0587,46.71,68,97,5.99,AU,1629123044
175,hofn,64.2539,-15.2082,57.22,72,9,8.05,IS,1629123577
176,khandyga,62.6667,135.6,60.84,99,100,2.06,RU,1629123578
177,mar del plata,-38.0023,-57.5575,50.02,93,90,11.5,AR,1629123322
178,codrington,-38.2667,141.9667,50.85,84,81,13.29,AU,1629123074
179,abu samrah,35.3029,37.1841,93.4,24,0,20.6,SY,1629123578
180,lata,40.1629,-8.3327,95.04,23,0,12.35,PT,1629123578
181,hualmay,-11.0964,-77.6139,63.07,79,73,7.34,PE,1629123132
182,orange walk,17.8333,-88.8333,80.46,78,62,2.26,BZ,1629123579
183,gat,31.61,34.7642,90.79,40,0,14.94,IL,1629123439
184,puerto baquerizo moreno,-0.9,-89.6,70.79,83,75,11.5,EC,1629123579
185,vila,42.0304,-8.1588,75.7,30,0,8.25,PT,1629123579
186,santa cruz,-17.8,-63.1667,82.45,47,32,19.57,BO,1629123525
187,kaiyuan,23.6977,103.3037,66.85,94,96,4.52,CN,1629123580
188,idanre,7.1127,5.1159,76.5,87,95,5.82,NG,1629123580
189,nybro,56.7446,15.9071,65.21,76,100,9.86,SE,1629123580
190,cravo norte,6.3017,-70.2041,81.36,76,76,4.05,CO,1629123580
191,ribeira grande,38.5167,-28.7,77.4,83,40,9.22,PT,1629123060
192,wewak,-3.5534,143.6268,80.2,83,26,5.48,PG,1629123581
193,palana,59.1167,159.9667,50.7,94,81,19.51,RU,1629123581
194,port elizabeth,-33.918,25.5701,79.11,64,0,12.66,ZA,1629123421
195,bengkulu,-3.8004,102.2655,77.97,84,90,3.65,ID,1629122827
196,esperance,-33.8667,121.9,51.82,82,7,14.41,AU,1629123017
197,bambous virieux,-20.3428,57.7575,70.05,64,75,10.36,MU,1629123416
198,lompoc,34.6391,-120.4579,62.28,99,90,0.0,US,1629123481
199,rosario,-32.9468,-60.6393,66.6,63,0,4.0,AR,1629123309
200,prince rupert,54.3161,-130.3201,53.29,96,40,4.61,CA,1629123360
201,georgetown,5.4112,100.3354,76.93,97,40,3.44,MY,1629123582
202,carnarvon,-24.8667,113.6333,66.27,81,40,4.61,AU,1629123582
203,finote selam,10.7,37.2667,65.61,89,88,3.71,ET,1629123582
204,mandalgovi,45.7625,106.2708,73.15,36,56,14.85,MN,1629123583
205,bayanday,53.0661,105.5139,57.69,88,100,3.98,RU,1629123583
206,itarema,-2.9248,-39.9167,88.41,49,22,12.93,BR,1629123046
207,tessalit,20.1986,1.0114,104.2,16,85,5.06,ML,1629123583
208,san patricio,28.017,-97.5169,85.87,75,14,3.67,US,1629123584
209,carballo,43.213,-8.691,74.75,77,0,10.83,ES,1629123584
210,bacoor,14.4167,120.95,85.06,76,91,6.02,PH,1629123584
211,santiago del estero,-27.7951,-64.2615,69.8,28,5,12.1,AR,1629123584
212,aksu,41.1231,80.2644,70.88,32,41,12.59,CN,1629123585
213,teseney,15.11,36.6575,85.41,58,56,7.74,ER,1629123585
214,mancio lima,-7.6142,-72.8958,86.07,74,53,8.05,BR,1629123585
215,fairbanks,64.8378,-147.7164,52.09,95,90,9.22,US,1629123586
216,havre-saint-pierre,50.2334,-63.5986,63.97,61,75,8.7,CA,1629123118
217,blagoyevo,63.3667,47.9167,64.96,68,99,9.75,RU,1629123586
218,los llanos de aridane,28.6585,-17.9182,85.75,37,0,16.11,ES,1629123001
219,caracollo,-14.9165,-70.6603,49.28,31,76,0.87,PE,1629123586
220,colombo,6.9319,79.8478,78.98,86,98,8.61,LK,1629123326
221,kamenka,51.3223,42.7678,77.38,66,100,9.17,RU,1629123587
222,carauari,-4.8828,-66.8958,88.45,51,9,3.56,BR,1629123587
223,santa fe,-31.6333,-60.7,66.0,57,100,5.99,AR,1629123404
224,flinders,-34.5833,150.8552,56.21,65,3,12.37,AU,1629123587
225,leh,34.1667,77.5833,60.8,18,21,6.44,IN,1629123587
